metric_id,pilar,nama_metrik,satuan,target_kepatuhan_persen
METRIC-0001,Social,Pelatihan Karyawan (Jam) (Sub-1),Persentase / Jam / Tingkat Kasus,92.14
METRIC-0002,Environmental,Efisiensi Energi (Sub-2),Ton CO2e / M3 / MWh,73.85
METRIC-0003,Social,Rasio Kesetaraan Gender (Sub-3),Persentase / Jam / Tingkat Kasus,81.46
METRIC-0004,Governance,Independensi Dewan Komisaris (Sub-4),Skor Indeks / Persentase / Sertifikasi,87.56
METRIC-0005,Governance,Transparansi Pajak (Sub-5),Skor Indeks / Persentase / Sertifikasi,92.11
METRIC-0006,Social,Rasio Kesetaraan Gender (Sub-6),Persentase / Jam / Tingkat Kasus,70.11
METRIC-0007,Governance,Rasio Gaji Eksekutif (Sub-7),Skor Indeks / Persentase / Sertifikasi,77.82
METRIC-0008,Governance,Rasio Gaji Eksekutif (Sub-8),Skor Indeks / Persentase / Sertifikasi,86.15
METRIC-0009,Environmental,Pengelolaan Limbah B3 (Sub-9),Ton CO2e / M3 / MWh,85.99
METRIC-0010,Governance,Audit Keamanan Siber (Sub-10),Skor Indeks / Persentase / Sertifikasi,89.13
METRIC-0011,Social,Hubungan Komunitas Lokal (Sub-11),Persentase / Jam / Tingkat Kasus,79.12
METRIC-0012,Social,Rasio Kesetaraan Gender (Sub-12),Persentase / Jam / Tingkat Kasus,86.22
METRIC-0013,Governance,Independensi Dewan Komisaris (Sub-13),Skor Indeks / Persentase / Sertifikasi,75.69
METRIC-0014,Social,Hubungan Komunitas Lokal (Sub-14),Persentase / Jam / Tingkat Kasus,75.61
METRIC-0015,Environmental,Efisiensi Energi (Sub-15),Ton CO2e / M3 / MWh,87.3
METRIC-0016,Governance,Sertifikasi Anti-Korupsi (Sub-16),Skor Indeks / Persentase / Sertifikasi,90.56
METRIC-0017,Governance,Sertifikasi Anti-Korupsi (Sub-17),Skor Indeks / Persentase / Sertifikasi,73.61
METRIC-0018,Governance,Transparansi Pajak (Sub-18),Skor Indeks / Persentase / Sertifikasi,73.68
METRIC-0019,Social,Turnover Karyawan (Sub-19),Persentase / Jam / Tingkat Kasus,86.96
METRIC-0020,Social,Hubungan Komunitas Lokal (Sub-20),Persentase / Jam / Tingkat Kasus,78.1
METRIC-0021,Governance,Transparansi Pajak (Sub-21),Skor Indeks / Persentase / Sertifikasi,81.77
METRIC-0022,Social,Pelatihan Karyawan (Jam) (Sub-22),Persentase / Jam / Tingkat Kasus,82.02
METRIC-0023,Social,Hubungan Komunitas Lokal (Sub-23),Persentase / Jam / Tingkat Kasus,75.36
METRIC-0024,Governance,Transparansi Pajak (Sub-24),Skor Indeks / Persentase / Sertifikasi,70.04
METRIC-0025,Governance,Independensi Dewan Komisaris (Sub-25),Skor Indeks / Persentase / Sertifikasi,95.59
