company_id,nama_perusahaan,sektor,wilayah_operasional,tahun_listing
COMP-0001,PT Utama Sentosa No. 1,Kesehatan,Sumatera Utara,2010
COMP-0002,PT Surya Sejahtera No. 2,Konsumer Primer,DKI Jakarta,2017
COMP-0003,PT Utama Persada No. 3,Teknologi & Informasi,Sulawesi Selatan,2017
COMP-0004,PT Citra Abadi No. 4,Infrastruktur,Kalimantan Timur,2018
COMP-0005,PT Surya Sejahtera No. 5,Keuangan,Jawa Timur,2015
COMP-0006,PT Artha Jaya No. 6,Infrastruktur,Sulawesi Selatan,2021
COMP-0007,PT Surya Karya No. 7,Infrastruktur,Kalimantan Timur,2010
COMP-0008,PT Sumber Sejahtera No. 8,Teknologi & Informasi,Jawa Barat,2023
COMP-0009,PT Bumi Jaya No. 9,Konsumer Primer,Sulawesi Selatan,2018
COMP-0010,PT Sumber Makmur No. 10,Infrastruktur,Kalimantan Timur,2021
COMP-0011,PT Mega Energi No. 11,Konsumer Primer,Jawa Barat,2022
COMP-0012,PT Indo Lestari No. 12,Energi & Pertambangan,Jawa Barat,2024
COMP-0013,PT Bina Energi No. 13,Kesehatan,Jawa Barat,2023
COMP-0014,PT Indo Karya No. 14,Konsumer Primer,Jawa Barat,2012
COMP-0015,PT Utama Sentosa No. 15,Keuangan,Jawa Barat,2020
COMP-0016,PT Bina Karya No. 16,Kesehatan,Sumatera Utara,2015
COMP-0017,PT Mega Karya No. 17,Keuangan,Sulawesi Selatan,2019
COMP-0018,PT Utama Sejahtera No. 18,Infrastruktur,Kalimantan Timur,2022
COMP-0019,PT Bina Abadi No. 19,Kesehatan,Sumatera Utara,2019
COMP-0020,PT Bumi Sentosa No. 20,Konsumer Primer,Sumatera Utara,2024
COMP-0021,PT Bina Makmur No. 21,Kesehatan,DKI Jakarta,2020
COMP-0022,PT Indo Tbk No. 22,Infrastruktur,DKI Jakarta,2021
COMP-0023,PT Indo Sejahtera No. 23,Teknologi & Informasi,DKI Jakarta,2023
COMP-0024,PT Bumi Sentosa No. 24,Keuangan,Jawa Timur,2024
COMP-0025,PT Utama Jaya No. 25,Infrastruktur,DKI Jakarta,2018
COMP-0026,PT Citra Energi No. 26,Teknologi & Informasi,Kalimantan Timur,2020
COMP-0027,PT Artha Makmur No. 27,Kesehatan,Sumatera Utara,2022
COMP-0028,PT Surya Sentosa No. 28,Kesehatan,Kalimantan Timur,2012
COMP-0029,PT Bumi Lestari No. 29,Infrastruktur,Sulawesi Selatan,2014
COMP-0030,PT Sumber Persada No. 30,Konsumer Primer,DKI Jakarta,2022
COMP-0031,PT Artha Lestari No. 31,Kesehatan,Jawa Timur,2023
COMP-0032,PT Bumi Persada No. 32,Konsumer Primer,Sulawesi Selatan,2014
COMP-0033,PT Bumi Persada No. 33,Konsumer Primer,Jawa Timur,2019
COMP-0034,PT Artha Jaya No. 34,Konsumer Primer,Sulawesi Selatan,2016
COMP-0035,PT Utama Tbk No. 35,Energi & Pertambangan,Sumatera Utara,2013
COMP-0036,PT Surya Sejahtera No. 36,Teknologi & Informasi,Kalimantan Timur,2020
COMP-0037,PT Bumi Sejahtera No. 37,Teknologi & Informasi,Jawa Barat,2013
COMP-0038,PT Surya Persada No. 38,Kesehatan,Kalimantan Timur,2016
COMP-0039,PT Bina Tbk No. 39,Kesehatan,DKI Jakarta,2018
COMP-0040,PT Nusantara Tbk No. 40,Konsumer Primer,Jawa Barat,2024
COMP-0041,PT Utama Tbk No. 41,Energi & Pertambangan,Jawa Timur,2020
COMP-0042,PT Surya Energi No. 42,Konsumer Primer,Sumatera Utara,2013
COMP-0043,PT Surya Jaya No. 43,Energi & Pertambangan,Sumatera Utara,2013
COMP-0044,PT Citra Energi No. 44,Konsumer Primer,Jawa Timur,2015
COMP-0045,PT Surya Karya No. 45,Keuangan,DKI Jakarta,2015
COMP-0046,PT Citra Energi No. 46,Keuangan,Jawa Timur,2016
COMP-0047,PT Mega Persada No. 47,Infrastruktur,Sulawesi Selatan,2024
COMP-0048,PT Utama Persada No. 48,Konsumer Primer,DKI Jakarta,2010
COMP-0049,PT Bina Abadi No. 49,Kesehatan,Jawa Barat,2022
COMP-0050,PT Bina Jaya No. 50,Teknologi & Informasi,Jawa Timur,2020
COMP-0051,PT Bumi Energi No. 51,Infrastruktur,DKI Jakarta,2023
COMP-0052,PT Utama Abadi No. 52,Kesehatan,Jawa Barat,2012
COMP-0053,PT Surya Sejahtera No. 53,Keuangan,Jawa Timur,2018
COMP-0054,PT Citra Jaya No. 54,Konsumer Primer,Sumatera Utara,2015
COMP-0055,PT Sumber Karya No. 55,Infrastruktur,Jawa Timur,2015
COMP-0056,PT Nusantara Karya No. 56,Konsumer Primer,Kalimantan Timur,2014
COMP-0057,PT Mega Karya No. 57,Keuangan,Jawa Timur,2020
COMP-0058,PT Nusantara Sejahtera No. 58,Infrastruktur,Kalimantan Timur,2012
COMP-0059,PT Indo Abadi No. 59,Keuangan,Jawa Barat,2020
