fact_activity_id,company_id,metric_id,bulan,nilai_realisasi,status_kepatuhan,biaya_mitigasi_idr
FACT-0001,COMP-2184,METRIC-1857,9,79.03,Patuh,42262222
FACT-0002,COMP-1914,METRIC-0923,4,71.23,Perlu Evaluasi,65449387
FACT-0003,COMP-0948,METRIC-0792,4,92.78,Patuh,388820007
FACT-0004,COMP-0917,METRIC-1907,9,65.21,Perlu Evaluasi,449282927
FACT-0005,COMP-1365,METRIC-1905,4,93.04,Patuh,400837771
FACT-0006,COMP-1853,METRIC-2070,10,76.44,Patuh,220877943
FACT-0007,COMP-0342,METRIC-0813,4,74.24,Perlu Evaluasi,211074712
FACT-0008,COMP-0388,METRIC-0904,8,71.39,Perlu Evaluasi,375598618
FACT-0009,COMP-0004,METRIC-1731,11,97.17,Patuh,138150533
FACT-0010,COMP-0677,METRIC-0832,4,89.37,Patuh,406861206
FACT-0011,COMP-1663,METRIC-1395,9,109.62,Patuh,430759758
FACT-0012,COMP-2447,METRIC-1967,11,66.91,Perlu Evaluasi,86696422
FACT-0013,COMP-2459,METRIC-1045,8,52.81,Perlu Evaluasi,468688004
FACT-0014,COMP-0213,METRIC-2208,5,62.74,Perlu Evaluasi,346540950
FACT-0015,COMP-0560,METRIC-0744,9,74.03,Perlu Evaluasi,48040462
FACT-0016,COMP-0558,METRIC-0813,8,62.58,Perlu Evaluasi,115541144
FACT-0017,COMP-1995,METRIC-1580,10,55.85,Perlu Evaluasi,55169275
FACT-0018,COMP-0953,METRIC-1376,4,81.17,Patuh,270577181
FACT-0019,COMP-0475,METRIC-2228,4,97.39,Patuh,104838251
FACT-0020,COMP-1768,METRIC-1651,1,102.61,Patuh,262961642
FACT-0021,COMP-0042,METRIC-2261,4,77.91,Patuh,115774019
FACT-0022,COMP-2096,METRIC-0530,12,83.46,Patuh,32647692
FACT-0023,COMP-1987,METRIC-1419,8,102.88,Patuh,295704945
FACT-0024,COMP-0728,METRIC-2075,12,74.69,Perlu Evaluasi,445071015
FACT-0025,COMP-2269,METRIC-0939,12,104.93,Patuh,223179238
FACT-0026,COMP-1645,METRIC-2486,5,117.72,Patuh,345137141
FACT-0027,COMP-0940,METRIC-0285,6,111.63,Patuh,292043350
FACT-0028,COMP-0343,METRIC-1821,4,81.75,Patuh,353333371
FACT-0029,COMP-2203,METRIC-0649,5,90.57,Patuh,415364962
FACT-0030,COMP-0841,METRIC-0189,10,100.15,Patuh,288465141
FACT-0031,COMP-2028,METRIC-1726,8,74.45,Perlu Evaluasi,51900025
FACT-0032,COMP-2435,METRIC-1223,12,105.95,Patuh,413301501
FACT-0033,COMP-0894,METRIC-1126,9,80.58,Patuh,29202319
FACT-0034,COMP-1933,METRIC-0479,3,109.28,Patuh,58496879
FACT-0035,COMP-1339,METRIC-2044,10,67.83,Perlu Evaluasi,273485382
FACT-0036,COMP-0038,METRIC-2026,4,50.8,Perlu Evaluasi,271603638
FACT-0037,COMP-1365,METRIC-0517,1,94.29,Patuh,326377580
FACT-0038,COMP-0851,METRIC-1889,11,81.63,Patuh,122697420
FACT-0039,COMP-0231,METRIC-1551,5,54.19,Perlu Evaluasi,116071284
FACT-0040,COMP-2500,METRIC-1541,4,84.13,Patuh,436460594
FACT-0041,COMP-1366,METRIC-2278,6,61.8,Perlu Evaluasi,354475953
FACT-0042,COMP-2305,METRIC-1138,6,94.08,Patuh,216271846
FACT-0043,COMP-2482,METRIC-1540,10,81.15,Patuh,348869395
FACT-0044,COMP-0209,METRIC-1749,6,61.98,Perlu Evaluasi,233737905
