fact_score_id,company_id,tahun_evaluasi,skor_environmental,skor_social,skor_governance,total_skor_esg,peringkat_esg
FSC-0001,COMP-2017,2025,90,66,78,78.0,A
FSC-0002,COMP-0352,2024,85,56,81,74.0,A
FSC-0003,COMP-1363,2026,88,83,60,77.0,A
FSC-0004,COMP-0926,2023,85,75,70,76.67,A
FSC-0005,COMP-1424,2023,92,61,85,79.33,A
FSC-0006,COMP-2444,2025,72,81,78,77.0,A
FSC-0007,COMP-2406,2025,51,66,78,65.0,BBB
FSC-0008,COMP-1420,2025,59,74,71,68.0,BBB
FSC-0009,COMP-0060,2025,55,68,62,61.67,BBB
FSC-0010,COMP-0001,2024,57,64,77,66.0,BBB
FSC-0011,COMP-1579,2024,64,95,64,74.33,A
FSC-0012,COMP-0311,2026,94,77,83,84.67,AA
FSC-0013,COMP-2216,2024,78,84,73,78.33,A
FSC-0014,COMP-2240,2023,77,85,97,86.33,AA
FSC-0015,COMP-0708,2026,71,64,62,65.67,BBB
FSC-0016,COMP-1182,2024,83,73,65,73.67,A
FSC-0017,COMP-1781,2025,69,73,71,71.0,A
FSC-0018,COMP-1524,2024,82,98,70,83.33,AA
FSC-0019,COMP-2414,2022,64,77,98,79.67,A
FSC-0020,COMP-1364,2026,56,98,85,79.67,A
FSC-0021,COMP-0858,2024,73,95,60,76.0,A
FSC-0022,COMP-2375,2024,75,86,75,78.67,A
FSC-0023,COMP-2162,2023,99,74,68,80.33,AA
FSC-0024,COMP-0919,2025,59,58,64,60.33,BBB
FSC-0025,COMP-0609,2025,64,87,67,72.67,A
FSC-0026,COMP-0309,2023,86,55,80,73.67,A
FSC-0027,COMP-2449,2023,73,67,92,77.33,A
FSC-0028,COMP-1344,2022,60,57,98,71.67,A
FSC-0029,COMP-0212,2026,89,66,79,78.0,A
FSC-0030,COMP-2365,2025,70,83,81,78.0,A
FSC-0031,COMP-0185,2023,89,85,72,82.0,AA
FSC-0032,COMP-1229,2023,87,95,98,93.33,AAA
FSC-0033,COMP-1388,2026,64,90,70,74.67,A
FSC-0034,COMP-1240,2023,64,56,77,65.67,BBB
FSC-0035,COMP-0246,2022,86,76,89,83.67,AA
FSC-0036,COMP-0239,2026,94,76,92,87.33,AA
FSC-0037,COMP-1829,2022,63,95,62,73.33,A
FSC-0038,COMP-1415,2024,92,85,60,79.0,A
FSC-0039,COMP-0520,2025,70,99,95,88.0,AA
FSC-0040,COMP-1614,2023,93,68,65,75.33,A
FSC-0041,COMP-0277,2026,69,83,96,82.67,AA
FSC-0042,COMP-1006,2022,82,89,88,86.33,AA
FSC-0043,COMP-2250,2025,52,63,70,61.67,BBB
FSC-0044,COMP-0214,2025,89,86,72,82.33,AA
FSC-0045,COMP-0606,2023,72,81,70,74.33,A
FSC-0046,COMP-0478,2025,93,64,97,84.67,AA
FSC-0047,COMP-0508,2023,96,79,84,86.33,AA
FSC-0048,COMP-1099,2024,72,99,74,81.67,AA
FSC-0049,COMP-1978,2023,76,87,72,78.33,A
FSC-0050,COMP-0142,2022,84,65,92,80.33,AA
FSC-0051,COMP-2370,2025,74,91,72,79.0,A
FSC-0052,COMP-1718,2025,81,63,97,80.33,AA
FSC-0053,COMP-0461,2025,71,61,83,71.67,A
FSC-0054,COMP-0670,2023,57,61,79,65.67,BBB
FSC-0055,COMP-2102,2026,87,88,76,83.67,AA
FSC-0056,COMP-2325,2023,67,73,83,74.33,A
FSC-0057,COMP-1845,2022,77,74,85,78.67,A
FSC-0058,COMP-1619,2023,77,96,99,90.67,AAA
FSC-0059,COMP-0400,2025,60,79,91,76.67,A
FSC-0060,COMP-0668,2024,61,59,88,69.33,BBB
FSC-0061,COMP-1523,2022,51,83,73,69.0,BBB
FSC-0062,COMP-1335,2024,86,81,96,87.67,AA
FSC-0063,COMP-1295,2022,53,79,81,71.0,A
FSC-0064,COMP-1473,2022,90,91,93,91.33,AAA
FSC-0065,COMP-2160,2025,94,69,86,83.0,AA
FSC-0066,COMP-0239,2023,94,58,87,79.67,A
FSC-0067,COMP-1044,2025,96,68,81,81.67,AA
FSC-0068,COMP-1313,2025,83,71,62,72.0,A
FSC-0069,COMP-1617,2025,72,75,81,76.0,A
FSC-0070,COMP-2245,2024,62,70,80,70.67,A
FSC-0071,COMP-2430,2022,56,80,75,70.33,A
FSC-0072,COMP-1722,2026,81,63,68,70.67,A
FSC-0073,COMP-1741,2023,72,56,72,66.67,BBB
FSC-0074,COMP-1516,2025,98,97,69,88.0,AA
FSC-0075,COMP-2212,2022,57,69,80,68.67,BBB
FSC-0076,COMP-1273,2023,99,89,99,95.67,AAA
FSC-0077,COMP-1045,2026,96,78,66,80.0,AA
FSC-0078,COMP-1536,2026,96,92,81,89.67,AA
FSC-0079,COMP-0536,2025,86,68,77,77.0,A
FSC-0080,COMP-2159,2026,83,91,80,84.67,AA
FSC-0081,COMP-0949,2026,97,91,73,87.0,AA
FSC-0082,COMP-0863,2023,78,60,69,69.0,BBB
FSC-0083,COMP-1022,2023,86,72,92,83.33,AA
FSC-0084,COMP-0434,2025,72,76,68,72.0,A
FSC-0085,COMP-1404,2022,87,72,77,78.67,A
FSC-0086,COMP-0783,2025,78,56,72,68.67,BBB
FSC-0087,COMP-0988,2024,93,86,76,85.0,AA
FSC-0088,COMP-0169,2026,54,71,82,69.0,BBB
FSC-0089,COMP-0709,2022,89,55,84,76.0,A
